"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"485","1194","CHE+DWT","T5","24",0.109,24
"486","1195","CHE+DWT","T5","11",0.197,11
"487","1195","CHE+DWT","T5","18",0.182,18
"488","1195","CHE+DWT","T5","24",0.254,24
"489","1195","CHE+DWT","T5","38",0.441,38
"490","1195","CHE+DWT","T5","46",0.863,46
"491","1195","CHE+DWT","T5","54",1.56,54
"492","1195","CHE+DWT","T5","60",1.778,60
"493","1195","CHE+DWT","T5","67",1.706,67
"494","1196","CHE+DWT","T5","11",0.306,11
"495","1196","CHE+DWT","T5","18",0.268,18
"496","1196","CHE+DWT","T5","24",0.273,24
"497","1196","CHE+DWT","T5","38",0.535,38
"498","1196","CHE+DWT","T5","46",0.67,46
"499","1196","CHE+DWT","T5","54",0.997,54
"500","1196","CHE+DWT","T5","60",1.72,60
"501","1196","CHE+DWT","T5","67",2.13,67
"502","1197","CHE+DWT","T5","11",0.077,11
"503","1197","CHE+DWT","T5","18",0.182,18
"504","1198","CHE+DWT","T5","11",0.291,11
"505","1198","CHE+DWT","T5","18",0.231,18
"506","1198","CHE+DWT","T5","24",0.288,24
"507","1199","CHE+DWT","T5","11",0.325,11
"508","1199","CHE+DWT","T5","18",0.361,18
"509","1199","CHE+DWT","T5","24",0.514,24
"510","1199","CHE+DWT","T5","38",0.778,38
"511","1199","CHE+DWT","T5","46",1.313,46
"512","1199","CHE+DWT","T5","54",1.828,54
"513","1199","CHE+DWT","T5","60",3.257,60
"514","1199","CHE+DWT","T5","67",3.547,67
"515","1200","CHE+DWT","T5","11",0.129,11
"516","1200","CHE+DWT","T5","18",0.223,18
"517","1200","CHE+DWT","T5","24",0.137,24
"518","1200","CHE+DWT","T5","38",0.349,38
"519","1200","CHE+DWT","T5","46",0.612,46
"520","1200","CHE+DWT","T5","54",0.828,54
"521","1200","CHE+DWT","T5","60",1.119,60
"522","1200","CHE+DWT","T5","67",1.732,67
"523","1201","CHE+DWT","T5","11",0.275,11
"524","1201","CHE+DWT","T5","18",0.312,18
"525","1201","CHE+DWT","T5","24",0.411,24
"526","1201","CHE+DWT","T5","38",0.55,38
"527","1201","CHE+DWT","T5","46",0.711,46
"528","1201","CHE+DWT","T5","54",1.527,54
"529","1201","CHE+DWT","T5","60",1.69,60
"530","1201","CHE+DWT","T5","67",1.868,67
"531","1204","CHE+DWT","T5","11",0.206,11
"532","1204","CHE+DWT","T5","18",0.26,18
"533","1204","CHE+DWT","T5","24",0.419,24
"534","1204","CHE+DWT","T5","38",0.357,38
"535","1204","CHE+DWT","T5","46",0.471,46
"536","1204","CHE+DWT","T5","54",0.809,54
